track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
you never wanted me,jackson c. frank,0.407,0.272,1.0,-12.191,1.0,0.0289,0.869,0.000302,0.102,0.556,177.121,audio_features,62L8X3mZkbHFiLLQcR5VN0,spotify:track:62L8X3mZkbHFiLLQcR5VN0,https://api.spotify.com/v1/tracks/62L8X3mZkbHFiLLQcR5VN0,https://api.spotify.com/v1/audio-analysis/62L8X3mZkbHFiLLQcR5VN0,187987.0,4.0
glycerine,bush,0.437,0.337,5.0,-11.439,1.0,0.0326,0.0371,0.000946,0.0981,0.0784,114.239,audio_features,7wpYSigAhQeZp3cdsMQ3Af,spotify:track:7wpYSigAhQeZp3cdsMQ3Af,https://api.spotify.com/v1/tracks/7wpYSigAhQeZp3cdsMQ3Af,https://api.spotify.com/v1/audio-analysis/7wpYSigAhQeZp3cdsMQ3Af,266493.0,4.0
moon river,nicole henry,0.301,0.226,6.0,-12.411,1.0,0.0327,0.891,0.000229,0.12,0.235,52.081,audio_features,1oFnBxOvkmjiUo6dBCEEoC,spotify:track:1oFnBxOvkmjiUo6dBCEEoC,https://api.spotify.com/v1/tracks/1oFnBxOvkmjiUo6dBCEEoC,https://api.spotify.com/v1/audio-analysis/1oFnBxOvkmjiUo6dBCEEoC,310827.0,4.0
dem know,boom boom vibration,0.791,0.719,11.0,-4.961,0.0,0.256,0.0487,0.0,0.095,0.781,74.995,audio_features,6xQjMHk4BKVKKiaavbyiyR,spotify:track:6xQjMHk4BKVKKiaavbyiyR,https://api.spotify.com/v1/tracks/6xQjMHk4BKVKKiaavbyiyR,https://api.spotify.com/v1/audio-analysis/6xQjMHk4BKVKKiaavbyiyR,231480.0,4.0
i am waiting,the rolling stones,0.63,0.396,0.0,-14.73,1.0,0.039,0.572,2.65e-05,0.083,0.604,88.699,audio_features,0JuW3zVUYjyW5BbtXq2to6,spotify:track:0JuW3zVUYjyW5BbtXq2to6,https://api.spotify.com/v1/tracks/0JuW3zVUYjyW5BbtXq2to6,https://api.spotify.com/v1/audio-analysis/0JuW3zVUYjyW5BbtXq2to6,190933.0,4.0
the tea leaf prophecy (lay down your arms),herbie hancock,0.678,0.272,5.0,-12.823,0.0,0.0479,0.959,0.000361,0.113,0.594,105.002,audio_features,4iRyloGgb4CKuzFeYm4VzI,spotify:track:4iRyloGgb4CKuzFeYm4VzI,https://api.spotify.com/v1/tracks/4iRyloGgb4CKuzFeYm4VzI,https://api.spotify.com/v1/audio-analysis/4iRyloGgb4CKuzFeYm4VzI,393920.0,4.0
if you were the only girl,louis prima,0.734,0.278,7.0,-13.806,0.0,0.0521,0.727,7.76e-05,0.124,0.799,77.854,audio_features,0OCce2E2ytSCeXXA9boXyr,spotify:track:0OCce2E2ytSCeXXA9boXyr,https://api.spotify.com/v1/tracks/0OCce2E2ytSCeXXA9boXyr,https://api.spotify.com/v1/audio-analysis/0OCce2E2ytSCeXXA9boXyr,186627.0,4.0
king of all the world,old 97's,0.405,0.715,0.0,-7.362,1.0,0.044,0.000776,0.0,0.139,0.693,77.112,audio_features,5xnPzWZDowGxTQTl4RwrmC,spotify:track:5xnPzWZDowGxTQTl4RwrmC,https://api.spotify.com/v1/tracks/5xnPzWZDowGxTQTl4RwrmC,https://api.spotify.com/v1/audio-analysis/5xnPzWZDowGxTQTl4RwrmC,171813.0,4.0
cry out to jesus,third day,0.34,0.619,0.0,-5.622,1.0,0.0354,0.264,0.0,0.143,0.242,146.207,audio_features,0HgDYi8pYbkYYvatcNsrQZ,spotify:track:0HgDYi8pYbkYYvatcNsrQZ,https://api.spotify.com/v1/tracks/0HgDYi8pYbkYYvatcNsrQZ,https://api.spotify.com/v1/audio-analysis/0HgDYi8pYbkYYvatcNsrQZ,282333.0,3.0
ocelot,hiatus kaiyote,0.849,0.835,9.0,-5.887,1.0,0.235,0.0368,0.409,0.31,0.966,152.104,audio_features,6O8TenYzLpmIMpJokNjbyz,spotify:track:6O8TenYzLpmIMpJokNjbyz,https://api.spotify.com/v1/tracks/6O8TenYzLpmIMpJokNjbyz,https://api.spotify.com/v1/audio-analysis/6O8TenYzLpmIMpJokNjbyz,83480.0,3.0
smile,tesseract,0.596,0.836,1.0,-7.282,1.0,0.0556,0.00111,0.102,0.191,0.23,94.996,audio_features,6conLq3FI2EHqUuFc7LH6J,spotify:track:6conLq3FI2EHqUuFc7LH6J,https://api.spotify.com/v1/tracks/6conLq3FI2EHqUuFc7LH6J,https://api.spotify.com/v1/audio-analysis/6conLq3FI2EHqUuFc7LH6J,287371.0,4.0
easy livin',uriah heep,0.216,0.876,9.0,-8.189,0.0,0.107,0.00233,0.781,0.118,0.477,159.597,audio_features,3WAzdrpkaA9kGbI2SG88n4,spotify:track:3WAzdrpkaA9kGbI2SG88n4,https://api.spotify.com/v1/tracks/3WAzdrpkaA9kGbI2SG88n4,https://api.spotify.com/v1/audio-analysis/3WAzdrpkaA9kGbI2SG88n4,156960.0,4.0
edison's medicine,tesla,0.482,0.928,7.0,-7.387,1.0,0.048,0.000682,0.00126,0.375,0.363,129.431,audio_features,3t9bVJnyWBJgMfUF7Ne8iN,spotify:track:3t9bVJnyWBJgMfUF7Ne8iN,https://api.spotify.com/v1/tracks/3t9bVJnyWBJgMfUF7Ne8iN,https://api.spotify.com/v1/audio-analysis/3t9bVJnyWBJgMfUF7Ne8iN,286906.0,4.0
lazy ways,10cc,0.491,0.586,0.0,-11.333,1.0,0.0281,0.18,1.56e-05,0.173,0.35,140.234,audio_features,1dbvYK3hUrXYlFCJhDKn8q,spotify:track:1dbvYK3hUrXYlFCJhDKn8q,https://api.spotify.com/v1/tracks/1dbvYK3hUrXYlFCJhDKn8q,https://api.spotify.com/v1/audio-analysis/1dbvYK3hUrXYlFCJhDKn8q,260173.0,4.0
i can't stand up for falling down,elvis costello & the attractions,0.599,0.722,5.0,-7.7,1.0,0.0274,0.000527,0.724,0.0947,0.977,141.777,audio_features,2Hd2wSNaIujq6CYVp2wLl6,spotify:track:2Hd2wSNaIujq6CYVp2wLl6,https://api.spotify.com/v1/tracks/2Hd2wSNaIujq6CYVp2wLl6,https://api.spotify.com/v1/audio-analysis/2Hd2wSNaIujq6CYVp2wLl6,126440.0,4.0
it's easy,boston,0.379,0.682,9.0,-11.069,1.0,0.0345,0.00784,0.017,0.13,0.686,138.804,audio_features,0xwQD6xJYa5lbsJ8B3rtoK,spotify:track:0xwQD6xJYa5lbsJ8B3rtoK,https://api.spotify.com/v1/tracks/0xwQD6xJYa5lbsJ8B3rtoK,https://api.spotify.com/v1/audio-analysis/0xwQD6xJYa5lbsJ8B3rtoK,264133.0,4.0
tide of tears,the parlor mob,0.39,0.563,11.0,-5.843,0.0,0.0321,0.00181,0.0416,0.0963,0.26,110.226,audio_features,0YXCJlidjXsr7vnu7EXZtH,spotify:track:0YXCJlidjXsr7vnu7EXZtH,https://api.spotify.com/v1/tracks/0YXCJlidjXsr7vnu7EXZtH,https://api.spotify.com/v1/audio-analysis/0YXCJlidjXsr7vnu7EXZtH,513040.0,3.0
loverboy,billy ocean,0.734,0.71,6.0,-9.164,0.0,0.0389,0.0915,2.28e-05,0.0635,0.715,107.901,audio_features,1rG2EZw9GJuBPleLhS64sn,spotify:track:1rG2EZw9GJuBPleLhS64sn,https://api.spotify.com/v1/tracks/1rG2EZw9GJuBPleLhS64sn,https://api.spotify.com/v1/audio-analysis/1rG2EZw9GJuBPleLhS64sn,249360.0,4.0
a doodlin' song,peggy lee,0.814,0.195,5.0,-13.573,0.0,0.0583,0.803,0.0,0.0827,0.695,117.945,audio_features,5scxg6T86e9onNaT0MMPh8,spotify:track:5scxg6T86e9onNaT0MMPh8,https://api.spotify.com/v1/tracks/5scxg6T86e9onNaT0MMPh8,https://api.spotify.com/v1/audio-analysis/5scxg6T86e9onNaT0MMPh8,126760.0,4.0
what i'd give,sugarland,0.601,0.571,4.0,-5.97,1.0,0.0282,0.471,0.00119,0.124,0.469,136.496,audio_features,6vasSHz6bWv5XZwatTzZmX,spotify:track:6vasSHz6bWv5XZwatTzZmX,https://api.spotify.com/v1/tracks/6vasSHz6bWv5XZwatTzZmX,https://api.spotify.com/v1/audio-analysis/6vasSHz6bWv5XZwatTzZmX,357253.0,4.0
satellite,rise against,0.387,0.94,5.0,-4.16,0.0,0.0528,0.00369,0.0,0.0759,0.444,134.876,audio_features,5sG3G54H21hNfd5etlheoe,spotify:track:5sG3G54H21hNfd5etlheoe,https://api.spotify.com/v1/tracks/5sG3G54H21hNfd5etlheoe,https://api.spotify.com/v1/audio-analysis/5sG3G54H21hNfd5etlheoe,238573.0,4.0
cool change,little river band,0.375,0.383,9.0,-10.941,1.0,0.0277,0.268,1.28e-06,0.0877,0.143,130.26,audio_features,2SEGYVnWImKLUOkU3Qa8sX,spotify:track:2SEGYVnWImKLUOkU3Qa8sX,https://api.spotify.com/v1/tracks/2SEGYVnWImKLUOkU3Qa8sX,https://api.spotify.com/v1/audio-analysis/2SEGYVnWImKLUOkU3Qa8sX,316219.0,4.0
walking in space,quincy jones,0.417,0.316,7.0,-18.177,0.0,0.0429,0.484,0.00856,0.107,0.324,117.527,audio_features,39k3dlkdWcIbbxWpSIFGrQ,spotify:track:39k3dlkdWcIbbxWpSIFGrQ,https://api.spotify.com/v1/tracks/39k3dlkdWcIbbxWpSIFGrQ,https://api.spotify.com/v1/audio-analysis/39k3dlkdWcIbbxWpSIFGrQ,726733.0,4.0
the blueprint,boogie down productions,0.936,0.589,3.0,-11.831,0.0,0.35,0.0473,0.0,0.262,0.962,138.653,audio_features,1ti1lb5VwCtyz6qw8yCFZJ,spotify:track:1ti1lb5VwCtyz6qw8yCFZJ,https://api.spotify.com/v1/tracks/1ti1lb5VwCtyz6qw8yCFZJ,https://api.spotify.com/v1/audio-analysis/1ti1lb5VwCtyz6qw8yCFZJ,182200.0,4.0
che,suicide,0.181,0.546,7.0,-13.636,1.0,0.0408,0.00021,0.175,0.252,0.367,163.402,audio_features,5FvvXC6c3hUCXoNl4hHR63,spotify:track:5FvvXC6c3hUCXoNl4hHR63,https://api.spotify.com/v1/tracks/5FvvXC6c3hUCXoNl4hHR63,https://api.spotify.com/v1/audio-analysis/5FvvXC6c3hUCXoNl4hHR63,222307.0,4.0
i go to work,us3,0.613,0.655,5.0,-13.411,0.0,0.14,0.00419,5.56e-05,0.143,0.698,169.39,audio_features,14xNBsiOLsPonqBov5iEM3,spotify:track:14xNBsiOLsPonqBov5iEM3,https://api.spotify.com/v1/tracks/14xNBsiOLsPonqBov5iEM3,https://api.spotify.com/v1/audio-analysis/14xNBsiOLsPonqBov5iEM3,246133.0,4.0
somethin' goin' on,"blood, sweat & tears",0.506,0.589,7.0,-6.952,1.0,0.0396,0.258,0.0702,0.571,0.668,79.051,audio_features,32jg11KUoKKCrqb78s6Dn2,spotify:track:32jg11KUoKKCrqb78s6Dn2,https://api.spotify.com/v1/tracks/32jg11KUoKKCrqb78s6Dn2,https://api.spotify.com/v1/audio-analysis/32jg11KUoKKCrqb78s6Dn2,480267.0,4.0
my reverie,sarah vaughan,0.308,0.296,7.0,-8.794,0.0,0.0313,0.966,0.0,0.0408,0.132,132.355,audio_features,201uu5sn292cmi9XRwMLTt,spotify:track:201uu5sn292cmi9XRwMLTt,https://api.spotify.com/v1/tracks/201uu5sn292cmi9XRwMLTt,https://api.spotify.com/v1/audio-analysis/201uu5sn292cmi9XRwMLTt,156853.0,4.0
cry baby,the mad lads,0.446,0.139,10.0,-19.132,1.0,0.031,0.186,2.2e-06,0.0791,0.325,77.312,audio_features,1MdGkfOWfAKfN4I3cud9gx,spotify:track:1MdGkfOWfAKfN4I3cud9gx,https://api.spotify.com/v1/tracks/1MdGkfOWfAKfN4I3cud9gx,https://api.spotify.com/v1/audio-analysis/1MdGkfOWfAKfN4I3cud9gx,222733.0,3.0
love for sale,talking heads,0.637,0.788,9.0,-11.938,0.0,0.0425,0.00331,6.86e-06,0.195,0.956,136.593,audio_features,4uX7ZZiP0oQUPaMvB2v6dM,spotify:track:4uX7ZZiP0oQUPaMvB2v6dM,https://api.spotify.com/v1/tracks/4uX7ZZiP0oQUPaMvB2v6dM,https://api.spotify.com/v1/audio-analysis/4uX7ZZiP0oQUPaMvB2v6dM,271600.0,4.0
good enough,van halen,0.379,0.832,4.0,-12.692,0.0,0.0539,0.008,0.00122,0.276,0.479,140.679,audio_features,1dsokd6f3Yg0KveFFu3ZNs,spotify:track:1dsokd6f3Yg0KveFFu3ZNs,https://api.spotify.com/v1/tracks/1dsokd6f3Yg0KveFFu3ZNs,https://api.spotify.com/v1/audio-analysis/1dsokd6f3Yg0KveFFu3ZNs,243173.0,4.0
